index contrast dissimilarity homogeneity asymmetry energy Label
Cr_1 12769357 562393 2747.88168007771 312782 559.269165965727 0
Cr_2 9580203 482361 3307.99556434986 289038 537.622544170164 0
Cr_3 10928946 517098 3084.55377150086 337650 581.07658703479 0
Cr_4 12465011 556457 2776.65020591256 372854 610.617720018016 0
Cr_5 6088850 375354 4293.16296752742 371518 609.522764136008 0
Cr_6 11073274 521946 3033.81431419189 293212 541.490535466688 0
Cr_7 5577765 364307 4325.82013852164 398904 631.588473612367 0
Cr_8 9717543 491453 3150.06600485641 462704 680.223492684573 0
Cr_9 5122030 349224 4554.38604142764 483520 695.356023918683 0
Cr_10 9403460 481206 3238.29949342537 438146 661.925977734671 0
Cr_11 8739308 461408 3425.96915931398 414996 644.201831726672 0
Cr_12 10061327 500581 3081.57088509204 461108 679.049335468344 0
Cr_13 13285006 576732 2693.99162566657 340878 583.847582850182 0
Cr_14 5186868 353136 4410.91960762356 442314 665.066913926712 0
Cr_15 5169984 352852 4365.24991460939 454556 674.207683136287 0
Cr_16 4867917 340445 4554.32306689678 456504 675.65079737983 0
Cr_17 10577747 509867 3047.56615408197 361920 601.597872336663 0
Cr_18 10248080 502884 3099.73116737742 392314 626.349742556026 0
Cr_19 10341924 505732 3101.35335943805 465094 681.978005510442 0
Cr_20 5105041 349849 4450.92376929105 435272 659.751468357593 0
Cr_21 11170717 526625 2992.02704561008 417984 646.516821126875 0
Cr_22 10427051 507461 3088.39588311839 445706 667.612162861043 0
Cr_23 8253490 448044 3496.80866701506 372130 610.024589668318 0
Cr_24 13504154 580346 2696.42959715158 334894 578.700267841652 0
Cr_25 11786726 539518 2912.46899596147 376232 613.377534639149 0
Cr_26 6923012 407058 3883.93444309901 336208 579.834459134674 0
Cr_27 12371777 553175 2837.00889335224 369368 607.756530199388 0
Cr_28 5816826 371276 4297.6510004439 377544 614.446092021098 0
Cr_29 11491698 527242 3048.07185461597 365336 604.430310292262 0
Cr_30 5905345 374363 4201.93743166473 377434 614.35657398615 0
Cr_31 13765043 579667 2758.16787226555 327354 572.148582100839 0
Cr_32 8390420 453122 3407.08795888597 376856 613.885982899105 0
Cr_33 9425908 480964 3261.4315203509 407200 638.122245341753 0
Cr_34 7894909 441535 3497.04033923768 452708 672.835789773404 0
Cr_35 14197775 594981 2647.49624703873 313114 559.565903178526 0
Cr_36 10085614 501260 3074.05435578504 469150 684.945253286713 0
Cr_37 11471418 532476 2932.46479011004 397372 630.374491869714 0
Cr_38 11840295 543107 2857.37441496051 395750 629.086639502064 0
Cr_39 11790509 539641 2926.71293358952 379816 616.292138518739 0
Cr_40 11423151 533375 2916.77899816817 403524 635.23538944237 0
Cr_41 11759713 539231 2894.51416077749 376312 613.442743864495 0
